id,in_use,name
101834,Y,Nelson Hall East
112722,Y,University Center
113542,Y,Forbes Gym
119725,Y,Hemlock
119803,Y,Parking Services
125981,Y,Community Services
127757,Y,Mendocino
147024,Y,Trinity
153144,Y,Shasta
153743,Y,Del Norte
158648,Y,College Creek Field Gate
159275,Y,Schatz Energy Research Center
159778,Y,
178291,Y,Campus Apartments
178654,Y,Kinesiology and Athletics
191859,Y,Student Recreation Center
200037,Y,CCAT
206958,Y,Little Apartments
207735,Y,Student and Business Services
214732,Y,Cypress Hall
221817,Y,Fish Hatchery
223940,Y,Fish Hatchery
224357,Y,Creekside Lounge
242978,Y,Wildlife and Fisheries
246891,Y,Nelson Hall West
260649,Y,Shipping and Receiving
279294,Y,Experiemental Greenhouse
284311,Y,Jolly Giant Commons
294814,Y,Gist Hall
297810,Y,Recreation and Wellness Center
303976,Y,Hadley House
304896,Y,Marine Wildlife Care Center
311187,Y,Boat Facility
318953,Y,East Bleachers
353030,Y,Concession
358151,Y,Brookins House
359149,Y,Science C
363395,Y,Science A
400542,Y,Science B
404865,Y,Jenkins Hall
405352,Y,Wagner House
410510,Y,Sculpture Lab
416926,Y,Ceramics Lab
421062,Y,Child Development Lab
422212,Y,Harry Griffith Hall
422772,Y,Forestry
422778,Y,Natural Resources
434211,Y,Jensen House
457708,Y,Baiocchi House
458783,Y,Baiocchi House
466162,Y,Mary Warren House
471210,Y,Toddler Center
478430,Y,Walter Warren House
481086,Y,Marketing and Communication
499977,Y,
508750,Y,Facilities Management
516927,Y,Trinity Annex
521946,Y,Warren House
538046,Y,Bret Harte House
542674,Y,MultiCultural Center
548845,Y,Telonicher House
555564,Y,Redwood Hall
563391,Y,Sunset Hall
564679,Y,Library
570724,Y,Hagopian House
591950,Y,Brero House
594381,Y,Feuerwerker House
599510,Y,West Bleachers
600543,Y,Van Matre Hall
606841,Y,Willow
607957,Y,Laurel
611841,Y,Fern
613851,Y,Juniper
630305,Y,Student Health Center
654304,Y,Music A
655894,Y,Art B
661042,Y,Art A
679820,Y,Music A
693280,Y,Chinquapin
698832,Y,Madrone
702038,Y,Pepperwood
711482,Y,Alder
719991,Y,Maple
728723,Y,Tan Oak
730186,Y,Cedar
