bldng_name,label_1,label_2,abbr,bldng_phrase_list,info_description,image
Nelson Hall East,,,,,Something abouth Something for something and more something,link to something
University Center,,,,,Something abouth Something for something and more something,link to something
Forbes Gym,,,,,Something abouth Something for something and more something,link to something
Hemlock,,,,,Something abouth Something for something and more something,link to something
Parking Services,,,,,Something abouth Something for something and more something,link to something
Community Services,,,,,Something abouth Something for something and more something,link to something
Mendocino,,,,,Something abouth Something for something and more something,link to something
Trinity,,,,,Something abouth Something for something and more something,link to something
Shasta,,,,,Something abouth Something for something and more something,link to something
Del Norte,,,,,Something abouth Something for something and more something,link to something
College Creek Field Gate,,,,,Something abouth Something for something and more something,link to something
Schatz Energy Research Center,,,,,Something abouth Something for something and more something,link to something
,,,,,Something abouth Something for something and more something,link to something
Campus Apartments,,,,,Something abouth Something for something and more something,link to something
Kinesiology and Athletics,,,,,Something abouth Something for something and more something,link to something
Student Recreation Center,,,,,Something abouth Something for something and more something,link to something
CCAT,,,,,Something abouth Something for something and more something,link to something
Little Apartments,,,,,Something abouth Something for something and more something,link to something
Student and Business Services,,,,,Something abouth Something for something and more something,link to something
Cypress Hall,,,,,Something abouth Something for something and more something,link to something
Fish Hatchery,,,,,Something abouth Something for something and more something,link to something
Fish Hatchery,,,,,Something abouth Something for something and more something,link to something
Creekside Lounge,,,,,Something abouth Something for something and more something,link to something
Wildlife and Fisheries,,,,,Something abouth Something for something and more something,link to something
Nelson Hall West,,,,,Something abouth Something for something and more something,link to something
Shipping and Receiving,,,,,Something abouth Something for something and more something,link to something
Experiemental Greenhouse,,,,,Something abouth Something for something and more something,link to something
Jolly Giant Commons,,,,,Something abouth Something for something and more something,link to something
Gist Hall,,,,,Something abouth Something for something and more something,link to something
Recreation and Wellness Center,,,,,Something abouth Something for something and more something,link to something
Hadley House,,,,,Something abouth Something for something and more something,link to something
Marine Wildlife Care Center,,,,,Something abouth Something for something and more something,link to something
Boat Facility,,,,,Something abouth Something for something and more something,link to something
East Bleachers,,,,,Something abouth Something for something and more something,link to something
Concession,,,,,Something abouth Something for something and more something,link to something
Brookins House,,,,,Something abouth Something for something and more something,link to something
Science C,,,,,Something abouth Something for something and more something,link to something
Science A,,,,,Something abouth Something for something and more something,link to something
Science B,,,,,Something abouth Something for something and more something,link to something
Jenkins Hall,,,,,Something abouth Something for something and more something,link to something
Wagner House,,,,,Something abouth Something for something and more something,link to something
Sculpture Lab,,,,,Something abouth Something for something and more something,link to something
Ceramics Lab,,,,,Something abouth Something for something and more something,link to something
Child Development Lab,,,,,Something abouth Something for something and more something,link to something
Harry Griffith Hall,,,,,Something abouth Something for something and more something,link to something
Forestry,,,,,Something abouth Something for something and more something,link to something
Natural Resources,,,,,Something abouth Something for something and more something,link to something
Jensen House,,,,,Something abouth Something for something and more something,link to something
Baiocchi House,,,,,Something abouth Something for something and more something,link to something
Baiocchi House,,,,,Something abouth Something for something and more something,link to something
Mary Warren House,,,,,Something abouth Something for something and more something,link to something
Toddler Center,,,,,Something abouth Something for something and more something,link to something
Walter Warren House,,,,,Something abouth Something for something and more something,link to something
Marketing and Communication,,,,,Something abouth Something for something and more something,link to something
,,,,,Something abouth Something for something and more something,link to something
Facilities Management,,,,,Something abouth Something for something and more something,link to something
Trinity Annex,,,,,Something abouth Something for something and more something,link to something
Warren House,,,,,Something abouth Something for something and more something,link to something
Bret Harte House,,,,,Something abouth Something for something and more something,link to something
MultiCultural Center,,,,,Something abouth Something for something and more something,link to something
Telonicher House,,,,,Something abouth Something for something and more something,link to something
Redwood Hall,,,,,Something abouth Something for something and more something,link to something
Sunset Hall,,,,,Something abouth Something for something and more something,link to something
Library,,,,,Something abouth Something for something and more something,link to something
Hagopian House,,,,,Something abouth Something for something and more something,link to something
Brero House,,,,,Something abouth Something for something and more something,link to something
Feuerwerker House,,,,,Something abouth Something for something and more something,link to something
West Bleachers,,,,,Something abouth Something for something and more something,link to something
Van Matre Hall,,,,,Something abouth Something for something and more something,link to something
Willow,,,,,Something abouth Something for something and more something,link to something
Laurel,,,,,Something abouth Something for something and more something,link to something
Fern,,,,,Something abouth Something for something and more something,link to something
Juniper,,,,,Something abouth Something for something and more something,link to something
Student Health Center,,,,,Something abouth Something for something and more something,link to something
Music A,,,,,Something abouth Something for something and more something,link to something
Art B,,,,,Something abouth Something for something and more something,link to something
Art A,,,,,Something abouth Something for something and more something,link to something
Music A,,,,,Something abouth Something for something and more something,link to something
Chinquapin,,,,,Something abouth Something for something and more something,link to something
Madrone,,,,,Something abouth Something for something and more something,link to something
Pepperwood,,,,,Something abouth Something for something and more something,link to something
Alder,,,,,Something abouth Something for something and more something,link to something
Maple,,,,,Something abouth Something for something and more something,link to something
Tan Oak,,,,,Something abouth Something for something and more something,link to something
Cedar,,,,,Something abouth Something for something and more something,link to something
Founders Hall,,,,,Something abouth Something for something and more something,link to something
Van Duzer Theatre,,,,,Something abouth Something for something and more something,link to something
Siemens Hall,,,,,Something abouth Something for something and more something,link to something
Wildlife Facilities,,,,,Something abouth Something for something and more something,link to something
Wildlife Facilities,,,,,Something abouth Something for something and more something,link to something
Wildlife Facilities,,,,,Something abouth Something for something and more something,link to something
Behavioral and Social Sciences,,,,,Something abouth Something for something and more something,link to something
Native American Forum,,,,,Something abouth Something for something and more something,link to something
Science D,,,,,Something abouth Something for something and more something,link to something
Dennis K Walker Greenhouse,,,,,Something abouth Something for something and more something,link to something
