bldng_name,label_1,label_2,abbr,bldng_phrase_list,info_description,image
,NATURAL <br> RESOURCES,NATURAL <br> RESOURCES,,,Something abouth Something for something and more something,link to something
,GIST HALL,GIST HALL,,,Something abouth Something for something and more something,link to something
,WILDLIFE <br> & FISHERIES,WILDLIFE <br> & FISHERIES,,,Something abouth Something for something and more something,link to something
,,DENNIS K. WALKER <br> GREENHOUSE,,,Something abouth Something for something and more something,link to something
,SCIENCE A,SCIENCE A,,,Something abouth Something for something and more something,link to something
,STUDENT & <br> BUSINESS SERVICES,STUDENT & <br> BUSINESS SERVICES,,,Something abouth Something for something and more something,link to something
,JOLLY<br> GIANT<br> COMMONS,JOLLY<br> GIANT<br> COMMONS,,,Something abouth Something for something and more something,link to something
,,CYPRESS HALL,,,Something abouth Something for something and more something,link to something
,REDWOOD <br> HALL,REDWOOD <br> HALL,,,Something abouth Something for something and more something,link to something
,SUNSET <br> HALL,SUNSET <br> HALL,,,Something abouth Something for something and more something,link to something
,,THE <br> HILL,,,Something abouth Something for something and more something,link to something
,,CREEKSIDE <br> LOUNGE,,,Something abouth Something for something and more something,link to something
,,JUNIPER,,,Something abouth Something for something and more something,link to something
,,LAUREL,,,Something abouth Something for something and more something,link to something
,,WILLOW,,,Something abouth Something for something and more something,link to something
,,FERN,,,Something abouth Something for something and more something,link to something
,FOUNDERS <br> HALL,FOUNDERS <br> HALL,,,Something abouth Something for something and more something,link to something
,VAN MATRE <br> HALL,VAN MATRE <br> HALL,,,Something abouth Something for something and more something,link to something
,MUSIC B,MUSIC B,,,Something abouth Something for something and more something,link to something
,ART B,ART B,,,Something abouth Something for something and more something,link to something
,MUSIC A,MUSIC A,,,Something abouth Something for something and more something,link to something
,SIEMENS HALL,SIEMENS HALL,,,Something abouth Something for something and more something,link to something
,LIBRARY,LIBRARY,,,Something abouth Something for something and more something,link to something
,,HAGOPIAN <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,BRERO <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,LITTLE <br> APARTMENTS,,,Something abouth Something for something and more something,link to something
,STUDENT<br> HEALTH<br> CENTER,STUDENT<br> HEALTH<br> CENTER,,,Something abouth Something for something and more something,link to something
,,NELSON HALL<br> WEST,,,Something abouth Something for something and more something,link to something
,,NELSON HALL<br> EAST,,,Something abouth Something for something and more something,link to something
,,UNIVERSITY <br> CENTER,,,Something abouth Something for something and more something,link to something
,,BOOKSTORE,,,Something abouth Something for something and more something,link to something
,,UC QUAD,,,Something abouth Something for something and more something,link to something
,THEATRE <br> ARTS,THEATRE <br> ARTS,,,Something abouth Something for something and more something,link to something
,STUDENT <br> RECREATION <br> CENTER,STUDENT<br> RECREATION<br> CENTER,,,Something abouth Something for something and more something,link to something
,RECREATION &<br>WELLNESS CENTER,RECREATION & <br> WELLNESS <br> CENTER,,,Something abouth Something for something and more something,link to something
,FORBES GYM,FORBES GYM,,,Something abouth Something for something and more something,link to something
,KINESIOLOGY <br> & ATHLETICS,KINESIOLOGY <br> & ATHLETICS,,,Something abouth Something for something and more something,link to something
,,MARINE WILDLIFE <br> CARE CENTER,,,Something abouth Something for something and more something,link to something
,,BOAT <br> FACILITY,,,Something abouth Something for something and more something,link to something
,,NATIVE AMERICAN <br> FORUM,,,Something abouth Something for something and more something,link to something
,BEHAVIORAL & <br> SOCIAL SCIENCES,BEHAVIORAL <br> & SOCIAL SCIENCES,,,Something abouth Something for something and more something,link to something
,SCHATZ ENERGY<br> RESEARCH CENTER,SCHATZ ENERGY<br> RESEARCH CENTER,,,Something abouth Something for something and more something,link to something
,FORESTRY,FORESTRY,,,Something abouth Something for something and more something,link to something
,,BUCK <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,JENSEN <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,SHIPPING & <br> RECEIVING,,,Something abouth Something for something and more something,link to something
,FACILITIES <br> MANAGEMENT,,,,Something abouth Something for something and more something,link to something
,,MARKETING & <br> COMMUNICATION,,,Something abouth Something for something and more something,link to something
,,TODDLER <br> CENTER,,,Something abouth Something for something and more something,link to something
,,BIAOCCHI <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,MARY WARREN <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,WALTER WARREN <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,TRINITY <br> ANNEX,,,Something abouth Something for something and more something,link to something
,HARRY <br> GRIFFITH <br> HALL,HARRY <br> GRIFFITH <br> HALL,,,Something abouth Something for something and more something,link to something
,,CHILD <br> DEVELOPMENT <br> LAB,,,Something abouth Something for something and more something,link to something
,,COMMUNITY <br> SERVICES,,,Something abouth Something for something and more something,link to something
,COLLEGE <br> CREEK <br> COMPLEX,COLLEGE <br> CREEK <br> FIELD,,,Something abouth Something for something and more something,link to something
,,COLLEGE CREEK <br> COMPLEX,,,Something abouth Something for something and more something,link to something
,,DEL NORTE,,,Something abouth Something for something and more something,link to something
,,SHASTA,,,Something abouth Something for something and more something,link to something
,,TRINITY,,,Something abouth Something for something and more something,link to something
