bldng_name,label_1,label_2,abbr,bldng_phrase_list,info_description,image
Natural Resources,,,NR,,Something abouth Something for something and more something,link to something
Gist Hall,,,GH,,Something abouth Something for something and more something,link to something
Wildlife &<br> Fisheries,,,WLDF,,Something abouth Something for something and more something,link to something
Dennis K. Walker <br> Greenhouse,,,SCIE,,Something abouth Something for something and more something,link to something
Science A,,,SCIA,,Something abouth Something for something and more something,link to something
Student &<br> Business<br>Services,,,SBS,,Something abouth Something for something and more something,link to something
Jolly Giant<br> Commons,,,JGC,,Something abouth Something for something and more something,link to something
Cypress Hall,,,CYPRS,,Something abouth Something for something and more something,link to something
Redwood Hall,,,REDWO,,Something abouth Something for something and more something,link to something
Sunset Hall,,,SUNST,,Something abouth Something for something and more something,link to something
The Hill,,,The Hill,,Something abouth Something for something and more something,link to something
Creekside Lounge,,,Creek,,Something abouth Something for something and more something,link to something
Juniper,,,Juniper,,Something abouth Something for something and more something,link to something
Laurel,,,Laurel,,Something abouth Something for something and more something,link to something
Willow,,,Willow,,Something abouth Something for something and more something,link to something
Fern,,,Fern,,Something abouth Something for something and more something,link to something
Founders Hall,,,FH,,Something abouth Something for something and more something,link to something
Van Matre Hall,,,VMH,,Something abouth Something for something and more something,link to something
Music B,,,MusicB,,Something abouth Something for something and more something,link to something
Art B,,,Art B,,Something abouth Something for something and more something,link to something
Music A,,,Music A,,Something abouth Something for something and more something,link to something
Siemens Hall,,,SH,,Something abouth Something for something and more something,link to something
Library,,,LIB,,Something abouth Something for something and more something,link to something
HAH,,,HAH,,Something abouth Something for something and more something,link to something
BRH,,,BRH,,Something abouth Something for something and more something,link to something
LAPT,,,LAPT,,Something abouth Something for something and more something,link to something
Student<br> Health<br> Services,,,SHS,,Something abouth Something for something and more something,link to something
Nelson<br> Hall<br> West,,,NHW,,Something abouth Something for something and more something,link to something
Nelson Hall East,,,NHE,,Something abouth Something for something and more something,link to something
University Center,,,UC,,Something abouth Something for something and more something,link to something
Bookstore,,,Bookstore,,Something abouth Something for something and more something,link to something
UC Quad,,,UC Quad,,Something abouth Something for something and more something,link to something
Van Duzer Theatre,,,JVD,,Something abouth Something for something and more something,link to something
Theatre Arts,,,TA,,Something abouth Something for something and more something,link to something
Student<br> Recreation<br> Center,,,SRC,,Something abouth Something for something and more something,link to something
Recreation<br> & Wellness<br> Center,,,RWC,,Something abouth Something for something and more something,link to something
Forbes Gym,,,FGYM,,Something abouth Something for something and more something,link to something
Kinesiology & Athletics,,,KA,,Something abouth Something for something and more something,link to something
Marine Wildlife Care Center,,,MWCC,,Something abouth Something for something and more something,link to something
Boat,,,Boat,,Something abouth Something for something and more something,link to something
Native America Forum,,,NAF,,Something abouth Something for something and more something,link to something
,,,,,Something abouth Something for something and more something,link to something
Behavioral & Social Sciences,,,BSS,,Something abouth Something for something and more something,link to something
Schatz Energy<br> Research Center,,,SERC,,Something abouth Something for something and more something,link to something
Forestry,,,FR,,Something abouth Something for something and more something,link to something
BUCH,,,BUCH,,Something abouth Something for something and more something,link to something
JENH,,,JENH,,Something abouth Something for something and more something,link to something
Shipping &<br> Receiving,,,SR,,Something abouth Something for something and more something,link to something
Facilities<br> Management,,,FM,,Something abouth Something for something and more something,link to something
MCOM,,,MCOM,,Something abouth Something for something and more something,link to something
TOD,,,TOD,,Something abouth Something for something and more something,link to something
BH,,,BH,,Something abouth Something for something and more something,link to something
MWH,,,MWH,,Something abouth Something for something and more something,link to something
WWH,,,WWH,,Something abouth Something for something and more something,link to something
Trinity<br> Annex,,,TRIN,,Something abouth Something for something and more something,link to something
Harry<br> Griffith<br> Hall,,,HGH,,Something abouth Something for something and more something,link to something
Child<br> Development<br> Lab,,,CDL,,Something abouth Something for something and more something,link to something
Community<br> Center,,,CCCTR,,Something abouth Something for something and more something,link to something
College<br> Creek<br> Field,,,CCF,,Something abouth Something for something and more something,link to something
College Creek Complex,,,,,Something abouth Something for something and more something,link to something
Del Norte,,,,,Something abouth Something for something and more something,link to something
Shasta,,,,,Something abouth Something for something and more something,link to something
Trinity,,,,,Something abouth Something for something and more something,link to something
Mendocino,,,,,Something abouth Something for something and more something,link to something
Parking<br> Kiosk,,,,,Something abouth Something for something and more something,link to something
Campus<br> Apartments,,,CA,,Something abouth Something for something and more something,link to something
WH,,,,,Something abouth Something for something and more something,link to something
BHH,,,BHH,,Something abouth Something for something and more something,link to something
TH,,,TH,,Something abouth Something for something and more something,link to something
BALH,,,,,Something abouth Something for something and more something,link to something
HH,,,,,Something abouth Something for something and more something,link to something
WAGH,,,WAGH,,Something abouth Something for something and more something,link to something
Sculpture<br> Lab,,,SCLPT,,Something abouth Something for something and more something,link to something
Ceramics<br> Lab,,,CERAM,,Something abouth Something for something and more something,link to something
Jenkins<br> Hall,,,JH,,Something abouth Something for something and more something,link to something
SCI D,,,SCID,,Something abouth Something for something and more something,link to something
SCI C,,,SCIC,,Something abouth Something for something and more something,link to something
SCI B,,,SCIB,,Something abouth Something for something and more something,link to something
GRNH,,,,,Something abouth Something for something and more something,link to something
BROH,,,,,Something abouth Something for something and more something,link to something
Redwood<br> Bowl,,,Redwood<br> Bowl,,Something abouth Something for something and more something,link to something
Upper<br> Playing<br> Field,,,Upper<br> Playing<br> Field,,Something abouth Something for something and more something,link to something
Library<br> Circle,,,,,Something abouth Something for something and more something,link to something
Alder,,,,,Something abouth Something for something and more something,link to something
Chinquapin,,,,,Something abouth Something for something and more something,link to something
Hemlock,,,,,Something abouth Something for something and more something,link to something
Madrone,,,,,Something abouth Something for something and more something,link to something
Maple,,,,,Something abouth Something for something and more something,link to something
Tan Oal,,,,,Something abouth Something for something and more something,link to something
